번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190701,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190702,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190703,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190704,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190705,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190706,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190707,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190708,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190709,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190710,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190711,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190712,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190713,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190714,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190715,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190716,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190717,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190718,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190719,SK에너지,셀프,1777,1577,1477,0
