,제조사,모델,연식,주행거리,연료,변속기,기통,구동방식,등급,유형,색상,상태,가격
0,chevrolet,c-10,1974.0,305710,휘발유,자동,4,전륜구동,대형,픽업트럭,파란색,좋음,2400000
1,ford,f350 lariat,2005.0,186644,경유,자동,8,사륜구동,대형,픽업트럭,파란색,훌륭함,23400000
2,ford,expedition,2003.0,284793,휘발유,자동,8,전륜구동,대형,SUV,파란색,좋음,5880000
3,jeep,gladiator,2020.0,16894,휘발유,자동,6,사륜구동,대형,픽업트럭,회색,새거같음,56400000
4,ford,fusion sel,2010.0,131938,휘발유,자동,6,후륜구동,대형,세단,은색,좋음,7500000
5,jeep,wrangler unlimited,2015.0,135156,휘발유,자동,6,사륜구동,대형,SUV,흰색,새거같음,33000000
6,mercedes-benz,benz c300 4matic,2016.0,30286,휘발유,자동,4,전륜구동,대형,세단,흰색,새거같음,29998800
7,jeep,wrangler,2016.0,20974,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,50280000
8,gmc,sierra 3500,2005.0,234865,경유,자동,8,사륜구동,대형,트럭,흰색,좋음,28680000
9,chevrolet,silverado 3500hd,2012.0,285517,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,22680000
10,chevrolet,traverse ls,2016.0,146377,휘발유,자동,6,후륜구동,대형,SUV,은색,훌륭함,17899200
11,chevrolet,express 3500 15 pass,2014.0,7226,휘발유,자동,8,전륜구동,대형,밴,흰색,새거같음,26280000
12,ford,f150 xlt,2016.0,185149,휘발유,자동,8,전륜구동,대형,트럭,흰색,훌륭함,27480000
13,bmw,325ci,2006.0,241350,휘발유,자동,6,전륜구동,중형,컨버터블,빨간색,훌륭함,5880000
14,honda,accord exl,2009.0,259822,휘발유,자동,4,후륜구동,대형,세단,검은색,훌륭함,9594000
15,nissan,altima sl,2017.0,185884,휘발유,자동,8,후륜구동,대형,세단,회색,훌륭함,14386800
16,gmc,yukon,2020.0,39106,휘발유,자동,8,후륜구동,대형,SUV,흰색,훌륭함,75840000
17,ford,f-150 xl,2019.0,113740,휘발유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,32569200
18,nissan,titan sv,2015.0,113973,휘발유,자동,8,전륜구동,대형,트럭,흰색,훌륭함,25185600
19,kia,forte,2014.0,85920,휘발유,자동,4,후륜구동,중형,세단,은색,새거같음,8640000
20,gmc,terrain,2011.0,289620,휘발유,자동,4,전륜구동,중형,SUV,은색,훌륭함,9000000
21,ford,super duty f-550 drw,2015.0,257131,휘발유,자동,10,사륜구동,대형,트럭,흰색,좋음,41988000
22,ram,3500,2008.0,337655,경유,자동,6,전륜구동,대형,트럭,흰색,좋음,19188000
23,ram,5500,2016.0,56607,경유,자동,6,사륜구동,대형,트럭,검은색,좋음,63588000
24,ram,5500,2012.0,105666,경유,자동,6,사륜구동,대형,트럭,빨간색,좋음,56388000
25,mitsubishi,fuso fe180,2016.0,53859,경유,자동,4,전륜구동,대형,트럭,흰색,좋음,47988000
26,ram,5500,2012.0,176222,경유,자동,6,사륜구동,대형,트럭,흰색,좋음,37188000
27,chevrolet,express commercial cutaway,2015.0,159841,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,25188000
28,ford,f-750,2006.0,83355,경유,자동,6,전륜구동,대형,트럭,흰색,좋음,19788000
29,chevrolet,express cargo van,2007.0,214568,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,25188000
30,chevrolet,cc4500,2006.0,168014,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,29988000
31,ford,super duty f-550 drw,2014.0,63158,경유,자동,8,사륜구동,대형,트럭,흰색,좋음,59988000
32,chevrolet,express commercial cutaway,2014.0,86507,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,29988000
33,ford,super duty f-650 straight frame,2017.0,121867,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,49188000
34,chevrolet,express cargo van,2006.0,284622,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,20388000
35,chevrolet,colorado lt crew cab,2016.0,149891,휘발유,자동,6,전륜구동,중형,트럭,검은색,새거같음,26280000
36,nissan,altima 2.5 sl,2018.0,112554,휘발유,자동,4,후륜구동,중형,세단,회색,훌륭함,21480000
37,hyundai,tucson se,2019.0,67301,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,23880000
38,honda,cr-v se,2016.0,103059,휘발유,자동,4,후륜구동,준중형,SUV,검은색,훌륭함,22680000
39,toyota,corolla,2020.0,32422,휘발유,자동,4,후륜구동,준중형,세단,흰색,훌륭함,22680000
40,honda,civic,2018.0,54607,휘발유,자동,4,후륜구동,준중형,세단,흰색,새거같음,22680000
41,nissan,300zx coupe with t-tops,1992.0,450520,휘발유,수동,6,전륜구동,준중형,해치백,흰색,파손,1200000
42,toyota,camry le,2003.0,230748,휘발유,자동,4,후륜구동,대형,세단,회색,훌륭함,6900000
43,ford,mustang,1968.0,91713,휘발유,자동,8,전륜구동,중형,쿠페,빨간색,좋음,21000000
44,gmc,1500 sierra denali,2016.0,154464,휘발유,자동,8,사륜구동,대형,픽업트럭,흰색,훌륭함,39300000
